Jaipur,2017-01-01,rain,73,52,0.94,3.03
Alwar,2017-01-01,rain,72.67,51.61,0.72,3.76
Mathura,2017-01-01,rain,72.5,52,0.59,2.21
Agra,2017-01-01,rain,72.5,50.48,0.55,2.32
Tundla,2017-01-01,rain,72.5,51.78,0.58,2.19
Kanpur,2017-01-01,rain,64.6,56.87,0.57,
Fatehpur,2017-01-01,rain,64.8,56.54,0.64,
Allahabad,2017-01-01,rain,65.11,57,0.7,
Jaipur,2017-01-02,rain,73,52,1.15,2.52
Alwar,2017-01-02,rain,72.67,51.61,0.79,0.24
Mathura,2017-01-02,rain,72.5,52,0.52,1.91
Agra,2017-01-02,rain,72.5,50.48,0.47,1.99
Tundla,2017-01-02,rain,72.5,51.78,0.51,1.86
Kanpur,2017-01-02,rain,64.6,55,0.6,
Fatehpur,2017-01-02,rain,64.8,55,0.65,
Allahabad,2017-01-02,rain,65.11,55,0.68,
Jaipur,2017-01-03,rain,72.06,52,1.46,3.23
Alwar,2017-01-03,rain,72.85,51.02,0.84,1.72
Mathura,2017-01-03,rain,73.39,52,0.41,2.05
Agra,2017-01-03,rain,73.03,50.53,0.35,1.78
Tundla,2017-01-03,rain,71.63,51.96,0.4,1.8
Kanpur,2017-01-03,rain,65.73,52,0.41,1.41
Fatehpur,2017-01-03,rain,65.12,52,0.46,1.18
Allahabad,2017-01-03,rain,64,52,0.49,1.28
Jaipur,2017-01-04,rain,73.81,50.26,1.22,2.45
Alwar,2017-01-04,rain,75.76,50.02,0.97,2.63
Mathura,2017-01-04,rain,76.01,49.21,0.73,2.34
Agra,2017-01-04,rain,76.01,48.26,0.71,2.04
Tundla,2017-01-04,rain,76.01,48.21,0.74,2.18
Kanpur,2017-01-04,rain,70,50,0.39,1.16
Fatehpur,2017-01-04,rain,70,50,0.46,1.01
Allahabad,2017-01-04,rain,70,50,0.53,0.56
Jaipur,2017-01-05,rain,77.3,52,1.67,4.15
Alwar,2017-01-05,rain,77,50.47,1.22,1.83
Mathura,2017-01-05,rain,77,51.33,0.85,0.89
Agra,2017-01-05,rain,77,50.14,0.87,0.77
Tundla,2017-01-05,rain,77,50.65,0.88,0.79
Kanpur,2017-01-05,rain,72,50,0.42,0.74
Fatehpur,2017-01-05,rain,72.41,50,0.57,0.76
Allahabad,2017-01-05,rain,74.22,49.78,0.66,0.32
Jaipur,2017-01-06,rain,73,54,1.91,3.93
Alwar,2017-01-06,rain,74.91,52.58,1.29,3.28
Mathura,2017-01-06,rain,76.15,50.76,1.12,4.9
Agra,2017-01-06,rain,76.89,48.38,1.37,4.7
Tundla,2017-01-06,rain,76.54,49.53,1.24,4.7
Kanpur,2017-01-06,rain,67.75,52,0.42,3.25
Fatehpur,2017-01-06,rain,71.74,52,0.61,3.02
Allahabad,2017-01-06,rain,72.32,51.45,0.73,3.11
Jaipur,2017-01-07,rain,70.11,58.75,1.97,2.36
