65.11,64.8,64.6,72.51,73.53,
57,56.54,56.87,52,52,
0.7,0.64,0.57,0.6,0.61,
630
515
64,65.12,65.73,73.62,72.68,
52,52,52,52,51.48,
0.49,0.46,0.41,0.42,0.42,
630
818
74.22,72.41,72,77,77,
49.78,50,50,52.05,53.17,
0.66,0.57,0.42,0.79,0.81,
630
539
70.89,69.59,67.48,68.07,68.26,
55,55,55,52.59,53.85,
0.96,0.85,0.69,0.72,0.72,
630
752
70.55,70.56,70.42,64.31,63.48,
48,48,48,43.47,43,
1.98,1.92,1.84,1.4,1.32,
630
65
64.55,64.88,64.65,64,64,
36,36,36,38.25,40.35,
2.02,1.82,1.58,1.06,0.89,
630
150
73,73,73,72.51,73.81,
41,41,41,44.62,47.63,
1.25,1.11,0.95,1.03,0.95,
630
80
72.77,71.78,70.65,59.23,59,
48,48,48,41,41,
0.99,0.88,0.73,0.69,0.59,
630
375
73,73,73,69.8,67.93,
43,43,43,43,43,
0.96,0.81,0.65,0.82,0.72,
630
200
78.66,77.07,77,74.89,74.42,
46,46,46,48,48,
1.27,1.21,1.05,0.82,0.69,
630
100
82.11,81.51,81,78.33,77,
53.66,53.33,52.53,51.96,52,
1.32,1.25,1.07,0.82,0.66,
630
92
81,81,81,70.12,64.88,
52,52,52,58.58,57,
1.25,1.19,1.02,0.73,0.62,
630
150
70.44,68.98,66.79,70,70,
52,52,52,52,52,
1.29,1.21,1.05,0.68,0.61,
630
343
77.44,74.47,73,74.56,72.48,
46,46,46,50,50,
1.02,0.9,0.74,0.78,0.7,
630
320
77.22,75.6,75,73.58,73,
48,48,48,49.07,49.49,
1.16,1.08,0.91,1.32,0.97,
630
220
83.77,83.74,82.33,74.45,73,
54,54,54,59.67,60.92,
1.3,1.24,1.09,1.27,0.93,
630
245
76.11,77.01,76.51,70.82,70.92,
54,54,54,47.58,46,
1.94,1.84,1.77,1.84,1.62,
630
89
80.66,80.39,79.55,72.02,71.04,
48,48,48,50.7,50,
1.85,1.81,1.75,1.62,1.16,
630
75
80.11,79.11,78.58,75,75,
50,50,50,48.56,49.71,
1.71,1.62,1.53,1.69,1.19,
630
15
80.66,79.82,79.02,77.59,79.16,
52,52,52,48,48,
1.74,1.63,1.55,1.53,1.16,
630
0
81.22,81.21,80.29,81.45,79.36,
53.66,54,53.33,52.65,53.85,
1.65,1.6,1.5,1.96,1.22,
630
65
87.45,87.35,87.39,87.83,87,
59,59,59,56.9,60.48,
1.17,1.11,0.98,2.23,1.81,
630
820
90,90,90,79.49,77.16,
63,63,63,61.03,60.93,
1.75,1.65,1.53,2.24,1.54,
630
110
81.77,81.26,81,78.33,77.08,
54,54,54,49.43,53.41,
1.67,1.62,1.53,2.52,1.99,
630
50
85.33,84.88,83.32,81.11,81,
52,52,52,51.07,51.85,
2.03,1.96,1.88,2.54,1.87,
630
45
89.66,89.39,88.47,90.4,90.5,
54,54,54,56.48,57,
2.4,2.3,2.23,2.6,1.75,
630
130
88.55,88.38,88.02,82.13,81.52,
63,63,63,64.4,62.83,
2.08,1.98,1.87,2.48,1.58,
630
45
84.55,84.62,84.24,82.11,81.48,
55,55,55,51.61,51.71,
2.19,2.1,2.01,2.57,1.8,
630
300
88,88.62,88.27,86.83,86.08,
54,54,54,54.05,56.46,
2.11,2.05,1.99,2.35,1.76,
630
0
90.55,90,90,81.51,81.48,
64,65.12,65.33,61.95,59.37,
1.81,1.72,1.6,2.2,1.8,
630
0
79.77,79.25,77.89,73.98,72.58,
50,50,50,52.49,53.47,
2.12,2.08,2.01,2.53,2.15,
630
5
81,81.48,81,78.2,78.92,
50,50,50,51.64,51.65,
2.25,2.16,2.08,2.52,2.24,
630
0
90.55,90.77,90.26,87.18,85.16,
54,54,54,58.17,58.23,
2.62,2.43,2.3,2.17,1.78,
630
70
88,88,88,84.72,84.92,
63,63,63,64.51,61.93,
2.05,2.01,1.95,2.6,2.03,
630
14
93,93,93,92.33,91.5,
61,61,61,59.27,62.63,
2.35,2.14,1.99,2.56,1.8,
630
0
97,97,97,99.47,99,
68,68,68,66.27,67.91,
2,1.79,1.61,2.57,2.04,
630
0
100,100,100,96.05,95.08,
68,68,68,66.42,66,
2.48,2.24,2.04,2.61,2.12,
630
0
102.55,102,102,100.83,100.08,
72,72,71.6,70.35,71.71,
2.4,2.2,2.03,2.64,1.93,
630
210
108,108,108,102.02,100.16,
72,71.85,70.8,72.32,72.93,
2.47,2.26,2.09,3.01,2.31,
630
55
108,108,108,101.33,100.08,
73,73,73,74.07,73.98,
2.63,2.42,2.27,2.94,2.53,
630
55
108,108,108,98.64,97.07,
73,73,72.27,74.43,74.82,
2.64,2.46,2.3,2.85,2.47,
630
0
100.88,100.01,98.12,102.34,100.16,
79,78.33,78.2,76.18,74.78,
2.29,2.09,1.92,2.75,2.27,
630
0
104.55,104.43,104,104.8,105,
66,66,66,70.69,70.44,
2.18,1.95,1.77,2.65,2.12,
630
50
102.88,102.67,100.77,106.69,106.07,
73,73,73,73.65,75.05,
2.19,1.98,1.78,2.24,2,
630
0
107.11,106.51,106,110.1,110.59,
79,79,79,78.11,79.38,
2.09,1.87,1.68,2.43,1.93,
630
0
103.88,102.58,100.51,104.8,105,
82,82,81.2,80.97,79,
2.01,1.78,1.58,2.74,2.05,
630
0
106,106,106,100.86,101,
81.55,80.4,79.93,77,75.38,
2.31,2.1,1.91,2.42,2.09,
630
45
104.55,104,104,100.83,100.08,
78.45,78.03,78.2,74.91,76.42,
2.29,2.06,1.88,2.58,2.17,
630
10
106,106,106,100.05,100,
84,83.85,83.47,77.15,75.44,
2.13,1.88,1.71,2.73,2.14,
630
15
106,106,106,105.35,104.15,
79,77.74,76.47,73.9,75.31,
2.55,2.34,2.17,2.63,2.28,
630
0
108,108,108,102.49,100.96,
84.89,84.51,84.93,79,77.52,
2.17,1.95,1.74,2.73,2.31,
630
13
109.11,108.56,108,111,111,
81,81,81,79.14,78.49,
2.3,2.14,2,2.57,2.15,
630
0
103.66,103.43,102.1,109.24,108.12,
75,75,73.07,81.63,82.73,
2.2,2.03,1.82,2.69,2.26,
630
0
106.55,106,106,105.33,107.34,
